Event;Timestamp;Framecount;SessionID;Email;BCIConfidence;BCIState
Sample;2021-04-09 09:26:26.0324;1298;582f54678fd7924a92437193df810956;anonymous;0.7281;ReceivingData
Sample;2021-04-09 09:26:26.0424;1299;582f54678fd7924a92437193df810956;anonymous;0.6308;ReceivingData
Sample;2021-04-09 09:26:26.1422;1311;582f54678fd7924a92437193df810956;anonymous;0.6427;ReceivingData
Sample;2021-04-09 09:26:26.1502;1312;582f54678fd7924a92437193df810956;anonymous;0.6666;ReceivingData
Sample;2021-04-09 09:26:26.2709;1328;582f54678fd7924a92437193df810956;anonymous;0.6214;ReceivingData
Sample;2021-04-09 09:26:26.2808;1329;582f54678fd7924a92437193df810956;anonymous;0.6330;ReceivingData
Sample;2021-04-09 09:26:26.4057;1344;582f54678fd7924a92437193df810956;anonymous;0.6677;ReceivingData
Sample;2021-04-09 09:26:26.4127;1345;582f54678fd7924a92437193df810956;anonymous;0.6401;ReceivingData
Sample;2021-04-09 09:26:26.5353;1360;582f54678fd7924a92437193df810956;anonymous;0.6342;ReceivingData
Sample;2021-04-09 09:26:26.5441;1361;582f54678fd7924a92437193df810956;anonymous;0.5903;ReceivingData
Sample;2021-04-09 09:26:26.6533;1375;582f54678fd7924a92437193df810956;anonymous;0.6153;ReceivingData
Sample;2021-04-09 09:26:26.6593;1376;582f54678fd7924a92437193df810956;anonymous;0.6279;ReceivingData
Sample;2021-04-09 09:26:26.7940;1393;582f54678fd7924a92437193df810956;anonymous;0.5941;ReceivingData
Sample;2021-04-09 09:26:26.8000;1394;582f54678fd7924a92437193df810956;anonymous;0.6084;ReceivingData
Sample;2021-04-09 09:26:26.9267;1410;582f54678fd7924a92437193df810956;anonymous;0.5982;ReceivingData
Sample;2021-04-09 09:26:26.9336;1411;582f54678fd7924a92437193df810956;anonymous;0.6436;ReceivingData
Sample;2021-04-09 09:26:27.0545;1426;582f54678fd7924a92437193df810956;anonymous;0.7051;ReceivingData
Sample;2021-04-09 09:26:27.0605;1427;582f54678fd7924a92437193df810956;anonymous;0.7455;ReceivingData
Sample;2021-04-09 09:26:27.0694;1428;582f54678fd7924a92437193df810956;anonymous;0.7886;ReceivingData
Sample;2021-04-09 09:26:27.1766;1441;582f54678fd7924a92437193df810956;anonymous;0.7698;ReceivingData
Sample;2021-04-09 09:26:27.1836;1442;582f54678fd7924a92437193df810956;anonymous;0.6952;ReceivingData
Sample;2021-04-09 09:26:27.3064;1457;582f54678fd7924a92437193df810956;anonymous;0.6815;ReceivingData
Sample;2021-04-09 09:26:27.3104;1458;582f54678fd7924a92437193df810956;anonymous;0.6311;ReceivingData
Sample;2021-04-09 09:26:27.4262;1472;582f54678fd7924a92437193df810956;anonymous;0.6366;ReceivingData
Sample;2021-04-09 09:26:27.4337;1473;582f54678fd7924a92437193df810956;anonymous;0.6121;ReceivingData
Sample;2021-04-09 09:26:27.5591;1488;582f54678fd7924a92437193df810956;anonymous;0.6670;ReceivingData
Sample;2021-04-09 09:26:27.5640;1489;582f54678fd7924a92437193df810956;anonymous;0.6809;ReceivingData
Sample;2021-04-09 09:26:27.6929;1505;582f54678fd7924a92437193df810956;anonymous;0.6574;ReceivingData
Sample;2021-04-09 09:26:27.6989;1506;582f54678fd7924a92437193df810956;anonymous;0.6710;ReceivingData
Sample;2021-04-09 09:26:27.8106;1520;582f54678fd7924a92437193df810956;anonymous;0.6824;ReceivingData
Sample;2021-04-09 09:26:27.8196;1521;582f54678fd7924a92437193df810956;anonymous;0.7137;ReceivingData
Sample;2021-04-09 09:26:27.9394;1536;582f54678fd7924a92437193df810956;anonymous;0.6973;ReceivingData
Sample;2021-04-09 09:26:27.9474;1537;582f54678fd7924a92437193df810956;anonymous;0.5872;ReceivingData
Sample;2021-04-09 09:26:27.9544;1538;582f54678fd7924a92437193df810956;anonymous;0.5713;ReceivingData
Sample;2021-04-09 09:26:28.0591;1551;582f54678fd7924a92437193df810956;anonymous;0.5310;ReceivingData
Sample;2021-04-09 09:26:28.0661;1552;582f54678fd7924a92437193df810956;anonymous;0.5176;ReceivingData
Sample;2021-04-09 09:26:28.1912;1568;582f54678fd7924a92437193df810956;anonymous;0.5411;ReceivingData
Sample;2021-04-09 09:26:28.1987;1569;582f54678fd7924a92437193df810956;anonymous;0.5679;ReceivingData
Sample;2021-04-09 09:26:28.3114;1583;582f54678fd7924a92437193df810956;anonymous;0.5885;ReceivingData
Sample;2021-04-09 09:26:28.3184;1584;582f54678fd7924a92437193df810956;anonymous;0.6080;ReceivingData
Sample;2021-04-09 09:26:28.4426;1600;582f54678fd7924a92437193df810956;anonymous;0.5736;ReceivingData
Sample;2021-04-09 09:26:28.4496;1601;582f54678fd7924a92437193df810956;anonymous;0.5659;ReceivingData
Sample;2021-04-09 09:26:28.5740;1616;582f54678fd7924a92437193df810956;anonymous;0.5429;ReceivingData
Sample;2021-04-09 09:26:28.5810;1617;582f54678fd7924a92437193df810956;anonymous;0.5997;ReceivingData
